qsns,opt1,opt2,opt3,opt4,correct_option,explanation
Power factor R/Z has a maximum value of:,0.0,0.5,1.0,1.5,,
Maximum power that can be transferred from source to load is:,25%,75%,50%,100%,,
Two’s complement of 00011011 is:,11100100,11100101,11000101,11110001,,
EEPROM has drain and floating gate gap of …..,5 nm,10 nm,12 nm,15 nm,,
Heisenberg principle of uncertainty says:,Signal of 10Hz can be generated.,Signal of 10MHz can be generated.,Signal of 100MHz can be generated.,Signal of band 100MHz-105MHz can be generated,,
UHF frequency signal can be amplified using:,Class A amplifier,Class AB amplifier,Class C amplifier,Class B amplifier,,
Elementary building block of combinational circuit is:,Logic gate,Flip-flop,Both logic gate and flip-flop,Memory,,
PPI 8255 has internal bus of size:,4 bit,8 bit,16 bit,32 bit,,
Which of the following is not a data type in C?,int,float,String,char,,
What is the size of a pointer in C?,1 byte,2 bytes,4 bytes,It depends on the system architecture,,
Which access specifier is used to make the members of a class accessible only within the same class?,public,private,protected,public and protected,,
Interrupt Service Route (ISR) executes,Before execution of current instructions,With pause of current instructions,After execution of current instructions,With execution of no instruction,,
What is operator overloading in C++?,Defining a new operator.,Overriding an existing operator.,Changing the behaviour of an existing operator.,Changing the behaviour of new operator.,,
What is a class template in C++?,A class that can be used to create objects of different types.,A function that can be used to create objects of different types.,A variable that can be used to create objects of different types.,A character that can be used to create objects of different types.,,
What is the difference between ifstream and ofstream in C++?,"ifstream is used for input, while ofstream is used for output.","ofstream is used for input, while ifstream is used for output.",both are used as input.,both are used as output,,
What is the purpose of the control unit in a CPU?,To perform arithmetic and logical operations on data.,To store and retrieve data from memory.,To interpret instructions and control the flow of data within the CPU.,To print data from memory,,
What is the purpose of the cache replacement policy?,To determine which data to store in the cache.,To determine which data to evict from the cache when space is needed.,To determine how many levels of cache to use.,To determined which data to store in RAM.,,
Which of the following is not a type of DMA transfer mode?,Burst mode,Cycle-stealing mode,Interrupt mode,Instruction mode.,,
An instruction set refers to a set of -----------,rules for writing code in a specific programming language.,instructions that a processor can execute.,input/output operations that a processor can perform.,printing command,,
What is a real-time kernel?,The core component of a real-time operating system.,The user interface of a real-time operating system.,The hardware component of a real-time operating system.,The core component of a real-time pointer system.,,
What is a signal in VHDL?,A variable used to store a value in a digital circuit.,A physical wire used to transmit data in a digital circuit.,A function used to perform a specific task in VHDL.,A file used to store a specific task.,A physical wire used to transmit data in a digital circuit.,"In VHDL, signals represent the physical interconnections (wires) between components, carrying data across the hardware architecture."
The PPP of the OSI model operates at ---------------,Physical layer,Data link layer,Network layer,Transport layer,Data link layer,Point-to-Point Protocol (PPP) is a Data Link Layer (Layer 2) protocol used to establish a direct connection between two nodes.
